Year,Topic_ID,Article_Count
2020,0,5
2020,1,9
2020,2,10
2020,3,32
2020,4,21
2020,5,10
2020,6,5
2020,7,23
2020,8,6
2020,9,7
2021,0,27
2021,1,56
2021,2,166
2021,3,173
2021,4,147
2021,5,46
2021,6,87
2021,7,173
2021,8,81
2021,9,57
2022,0,38
2022,1,53
2022,2,148
2022,3,171
2022,4,155
2022,5,60
2022,6,78
2022,7,155
2022,8,69
2022,9,68
2023,0,40
2023,1,54
2023,2,164
2023,3,168
2023,4,125
2023,5,50
2023,6,91
2023,7,128
2023,8,77
2023,9,77
2024,0,33
2024,1,68
2024,2,138
2024,3,183
2024,4,116
2024,5,45
2024,6,124
2024,7,111
2024,8,87
2024,9,100
2025,0,24
2025,1,52
2025,2,134
2025,3,131
2025,4,91
2025,5,42
2025,6,114
2025,7,104
2025,8,66
2025,9,106
2026,0,1
2026,1,4
2026,2,3
2026,3,3
2026,4,2
2026,6,2
2026,7,2
2026,8,1
2026,9,3
